parameter_set,machine_cycle_no,casting_part_label,casting_date,type_1st_phase,s1,v1,s2,v2,vcrit,vi,s3,v3,s4,s_start_braking,vbrake,p0,p1,t1,p2,t2,sol_time,pvac,hf1,hm2,metal,hf2,hf3,f3,f4,hm3,hm4,m4,piston,dichteindex,comment,alloy_si,alloy_fe,alloy_cu,alloy_mn,alloy_mg,alloy_cr,alloy_ni,alloy_zn,alloy_ti,cavity_sensor_data_file,cavity_sensor_trial_folder,cavity_sensor_file_cycle_nr,casting_diagram_file_path,shot_info_file_path,diagnosis_diagram,values_corrected_from_ddm,casting_part_label_matches_machine_cycle,cavity_source_file,cavity_source_rel_path,cavity_match_file_count,cavity_inventory_error,ddm_source_file,ddm_source_rel_path,ddm_file_status,ddm_match_file_count
or2509-004,49,49,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,4.0,566.0,1.8,646.0,679,0.75,200,400,0.07,600,0.09,8,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,32,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0049_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0049_ok.xml.gz,ok,1
or2509-004,50,50,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,4.0,566.0,1.8,646.0,679,0.75,200,400,0.07,600,0.09,8,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,33,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0050_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0050_ok.xml.gz,ok,1
or2509-005,57,57,2025-09-09,Buehler any,0,0.0,0,0.0,0.63,4.0,566.0,1.8,646.0,679,0.75,200,400,0.07,600,0.09,4,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,40,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0057_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0057_ok.xml.gz,ok,1
or2509-005,58,58,2025-09-09,Buehler any,0,0.0,0,0.0,0.63,4.0,566.0,1.8,646.0,679,0.75,200,400,0.07,600,0.09,4,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,41,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0058_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0058_ok.xml.gz,ok,1
or2509-005,59,59,2025-09-09,Buehler any,0,0.0,0,0.0,0.63,4.0,566.0,1.8,646.0,679,0.75,200,400,0.07,600,0.09,4,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,42,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0059_bad.xml.gz,ddm_y_FliesslaengerformBuehler_0059_bad.xml.gz,bad,1
or2509-006,63,63,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,2.5,466.0,1.8,546.0,699,1.0,200,400,0.06,700,0.14,16,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,46,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0063_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0063_ok.xml.gz,ok,1
or2509-006,64,64,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,2.5,466.0,1.8,546.0,699,1.0,200,400,0.06,700,0.14,16,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,47,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0064_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0064_ok.xml.gz,ok,1
or2509-006,65,65,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,2.5,466.0,1.8,546.0,699,1.0,200,400,0.06,700,0.14,16,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,48,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0065_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0065_ok.xml.gz,ok,1
or2509-007,69,69,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,3.5,566.0,3.2,666.0,689,0.75,200,200,0.07,400,0.11,4,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,52,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0069_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0069_ok.xml.gz,ok,1
or2509-007,70,70,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,3.5,566.0,3.2,666.0,689,0.75,200,200,0.07,400,0.11,4,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,53,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0070_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0070_ok.xml.gz,ok,1
or2509-007,71,71,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,3.5,566.0,3.2,666.0,689,0.75,200,200,0.07,400,0.11,4,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,54,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0071_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0071_ok.xml.gz,ok,1
or2509-008,79,79,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,3.2,486.0,1.9,566.0,689,1.0,200,200,0.08,400,0.18,8,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,62,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0079_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0079_ok.xml.gz,ok,1
or2509-008,80,80,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,3.2,486.0,1.9,566.0,689,1.0,200,200,0.08,400,0.18,8,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,63,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0080_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0080_ok.xml.gz,ok,1
