parameter_set,machine_cycle_no,casting_part_label,casting_date,type_1st_phase,s1,v1,s2,v2,vcrit,vi,s3,v3,s4,s_start_braking,vbrake,p0,p1,t1,p2,t2,sol_time,pvac,hf1,hm2,metal,hf2,hf3,f3,f4,hm3,hm4,m4,piston,dichteindex,comment,alloy_si,alloy_fe,alloy_cu,alloy_mn,alloy_mg,alloy_cr,alloy_ni,alloy_zn,alloy_ti,cavity_sensor_data_file,cavity_sensor_trial_folder,cavity_sensor_file_cycle_nr,casting_diagram_file_path,shot_info_file_path,diagnosis_diagram,values_corrected_from_ddm,casting_part_label_matches_machine_cycle,cavity_source_file,cavity_source_rel_path,cavity_match_file_count,cavity_inventory_error,ddm_source_file,ddm_source_rel_path,ddm_file_status,ddm_match_file_count
or2509-008,81,81,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,3.2,486.0,1.9,566.0,689,1.0,200,200,0.08,400,0.18,8,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,64,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,,,,0
or2509-009,85,85,2025-09-09,Buehler any,0,0.0,0,0.0,0.57,3.5,586.0,1.1,666.0,689,0.75,200,500,0.07,500,0.17,16,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,68,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0085_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0085_ok.xml.gz,ok,1
or2509-009,86,86,2025-09-09,Buehler any,0,0.0,0,0.0,0.57,3.5,586.0,1.1,666.0,689,0.75,200,500,0.07,500,0.17,16,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,69,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0086_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0086_ok.xml.gz,ok,1
or2509-009,87,87,2025-09-09,Buehler any,0,0.0,0,0.0,0.57,3.5,586.0,1.1,666.0,689,0.75,200,500,0.07,500,0.17,16,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,70,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0087_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0087_ok.xml.gz,ok,1
or2509-010,91,91,2025-09-09,Buehler any,0,0.0,0,0.0,0.38,3.0,486.0,2.6,566.0,699,0.75,200,300,0.05,400,0.15,16,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,74,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0091_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0091_ok.xml.gz,ok,1
or2509-010,92,92,2025-09-09,Buehler any,0,0.0,0,0.0,0.38,3.0,486.0,2.6,566.0,699,0.75,200,300,0.05,400,0.15,16,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,75,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0092_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0092_ok.xml.gz,ok,1
or2509-010,93,93,2025-09-09,Buehler any,0,0.0,0,0.0,0.38,3.0,486.0,2.6,566.0,699,0.75,200,300,0.05,400,0.15,16,500,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,76,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0093_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0093_ok.xml.gz,ok,1
or2509-011,104,104,2025-09-10,Nogowizin,0,0.0,0,0.0,0.0,2.0,526.1831,1.8,586.1831,699,0.75,300,300,0.06,300,0.1,16,1000,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,9,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0104_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0104_ok.xml.gz,ok,1
or2509-011,105,105,2025-09-10,Nogowizin,0,0.0,0,0.0,0.0,2.0,526.1831,1.8,586.1831,699,0.75,300,300,0.06,300,0.1,16,1000,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,10,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0105_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0105_ok.xml.gz,ok,1
or2509-011,106,106,2025-09-10,Nogowizin,0,0.0,0,0.0,0.0,2.0,526.1831,1.8,586.1831,699,0.75,300,300,0.06,300,0.1,16,1000,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,11,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0106_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0106_ok.xml.gz,ok,1
or2509-012,112,112,2025-09-10,no optimization,280,0.1,420,0.1,0.0,2.5,566.1831,0.3,666.1831,679,1.25,400,400,0.07,400,0.09,16,10,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,17,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0112_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0112_ok.xml.gz,ok,1
or2509-012,113,113,2025-09-10,no optimization,280,0.1,420,0.1,0.0,2.5,566.1831,0.3,666.1831,679,1.25,400,400,0.07,400,0.09,16,10,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,18,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0113_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0113_ok.xml.gz,ok,1
or2509-012,114,114,2025-09-10,no optimization,280,0.1,420,0.1,0.0,2.5,566.1831,0.3,666.1831,679,1.25,400,400,0.07,400,0.09,16,10,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,19,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0114_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0114_ok.xml.gz,ok,1
or2509-013,138,138,2025-09-10,Buehler any,0,0.0,0,0.0,0.444,2.0,486.1831,1.6,566.1831,679,1.25,300,500,0.08,600,0.16,16,20,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,43,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0138_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0138_ok.xml.gz,ok,1
or2509-013,139,,2025-09-10,Buehler any,0,0.0,0,0.0,0.444,2.0,486.1831,1.6,566.1831,679,1.25,300,500,0.08,600,0.16,16,20,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,44,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,False,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0139_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0139_ok.xml.gz,ok,1
or2509-013,140,140,2025-09-10,Buehler any,0,0.0,0,0.0,0.444,2.0,486.1831,1.6,566.1831,679,1.25,300,500,0.08,600,0.16,16,20,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,45,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0140_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0140_ok.xml.gz,ok,1
or2509-014,118,118,2025-09-10,no optimization,140,0.4,300,0.8,0.0,2.5,486.1831,2.0,526.1831,679,0.75,200,200,0.05,300,0.11,8,200,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,23,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0118_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0118_ok.xml.gz,ok,1
or2509-014,119,119,2025-09-10,no optimization,140,0.4,300,0.8,0.0,2.5,486.1831,2.0,526.1831,679,0.75,200,200,0.05,300,0.11,8,200,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,24,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0119_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0119_ok.xml.gz,ok,1
or2509-014,124,124,2025-09-10,no optimization,140,0.4,300,0.8,0.0,2.5,486.1831,2.0,526.1831,679,0.75,200,200,0.05,300,0.11,8,200,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,29,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0124_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0124_ok.xml.gz,ok,1
or2509-015,130,130,2025-09-10,no optimization,120,0.4,280,0.9,0.0,4.0,526.1831,2.1,586.1831,709,1.0,200,200,0.05,400,0.13,4,50,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,35,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0130_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0130_ok.xml.gz,ok,1
or2509-015,131,131,2025-09-10,no optimization,120,0.4,280,0.9,0.0,4.0,526.1831,2.1,586.1831,709,1.0,200,200,0.05,400,0.13,4,50,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,36,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0131_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0131_ok.xml.gz,ok,1
or2509-015,132,132,2025-09-10,no optimization,120,0.4,280,0.9,0.0,4.0,526.1831,2.1,586.1831,709,1.0,200,200,0.05,400,0.13,4,50,130,180,680,150,130,90,90,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,37,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0132_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0132_ok.xml.gz,ok,1
or2509-016,146,146,2025-09-10,Buehler any,0,0.0,0,0.0,0.444,3.5,526.1831,0.8,606.1831,689,1.0,400,400,0.1,500,0.12,16,1000,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,51,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0146_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0146_ok.xml.gz,ok,1
or2509-016,147,147,2025-09-10,Buehler any,0,0.0,0,0.0,0.444,3.5,526.1831,0.8,606.1831,689,1.0,400,400,0.1,500,0.12,16,1000,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,52,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0147_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0147_ok.xml.gz,ok,1
or2509-016,148,148,2025-09-10,Buehler any,0,0.0,0,0.0,0.444,3.5,526.1831,0.8,606.1831,689,1.0,400,400,0.1,500,0.12,16,1000,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,53,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0148_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0148_ok.xml.gz,ok,1
or2509-017,151,151,2025-09-10,Buehler any,0,0.0,0,0.0,0.61,2.5,566.1831,1.0,666.1831,689,1.5,300,500,0.04,600,0.14,4,10,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,56,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0151_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0151_ok.xml.gz,ok,1
or2509-017,152,152,2025-09-10,Buehler any,0,0.0,0,0.0,0.61,2.5,566.1831,1.0,666.1831,689,1.5,300,500,0.04,600,0.14,4,10,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,57,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0152_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0152_ok.xml.gz,ok,1
or2509-017,153,153,2025-09-10,Buehler any,0,0.0,0,0.0,0.61,2.5,566.1831,1.0,666.1831,689,1.5,300,500,0.04,600,0.14,4,10,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,58,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0153_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0153_ok.xml.gz,ok,1
or2509-018,158,158,2025-09-10,Buehler any,0,0.0,0,0.0,0.61,4.0,566.1831,4.0,666.1831,709,1.5,300,400,0.03,600,0.11,8,500,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,63,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0158_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0158_ok.xml.gz,ok,1
or2509-018,159,159,2025-09-10,Buehler any,0,0.0,0,0.0,0.61,4.0,566.1831,4.0,666.1831,709,1.5,300,400,0.03,600,0.11,8,500,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,64,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0159_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0159_ok.xml.gz,ok,1
or2509-018,160,160,2025-09-10,Buehler any,0,0.0,0,0.0,0.61,4.0,566.1831,4.0,666.1831,709,1.5,300,400,0.03,600,0.11,8,500,190,180,720,210,190,150,150,160,160,120,60,0.0453,Parametric study,11.31,0.762,0.0351,0.33,0.024,0.022,0.0131,0.0337,0.0248,Data\CavitySensors\Sensordata_single_export,250910,65,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_77_shots_96-172.csv,250910\06_Cavity_Sensors\cycle_data_1_77_shots_96-172.csv,1,,ddm_y_FliesslaengerformBuehler_0160_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0160_ok.xml.gz,ok,1
