collection,file_count,error_count,file_status_values,metadata_headers,file_summary_headers,curve_summary_headers,sample_headers,curve_metadata_headers,curve_names,curve_long_names,units
ddd,322,0,,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,available_curves; checks; collection; curve_count; curve_headers; curve_metadata_headers; file_status; filename; max_duration_s; metadata_key_count; metadata_keys; min_duration_s; sample_headers; size_bytes; source_rel_path; total_samples,collection; curve_index; curve_metadata_keys; duration_s; file_status; filename; long_name; max; mean; min; sample_columns; samples; short_name; source_rel_path; unit,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,p Atm   a; p I.1   a; p I.2   a; p IM    a; p L     a; p N Acc a; p Soll; p Sys   a; p Vac T a; p VacD2 a; s E     a; s I     a; s L     a; v I     a,Ambient pressure; Casting cylinder velocity; Injection cylinder secondary; Metal pressure: actual; Nominal pressure; Plunger stroke; System pressure; VacD2: Vacuum pressure moving platen; Vacuum tank pressure; casting cyl. primary; closing pressure; die position; ejector stroke; nitrogen pressure accu,[bar]; [m/s]; [mbar]; [mm]
ddm,325,0,bad; lok; lot; ok; out; pw,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; machineId; machineType; metalIdent; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,available_curves; checks; collection; curve_count; curve_headers; curve_metadata_headers; file_status; filename; max_duration_s; metadata_key_count; metadata_keys; min_duration_s; sample_headers; size_bytes; source_rel_path; total_samples,collection; curve_index; curve_metadata_keys; duration_s; file_status; filename; long_name; max; mean; min; sample_columns; samples; short_name; source_rel_path; unit,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,p I.1   a; p I.2   a; p IM; p IM    a; p VacD1 a; s I     a; v I; v I     a,Casting cylinder velocity; Injection cylinder secondary; Metal pressure: actual; Metal pressure: nominal; Plunger stroke; VacD1: Vacuum pressure fixed platen; casting cyl. primary,[bar]; [m/s]; [mbar]; [mm]
